Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,Albania,27959,Overall Global Gender Gap Index,Index,0.6607,0.6685,0.6591,0.6601,0.6726,0.6748,0.6655,0.6412,0.6869,0.701,0.7040000000000001,0.728,0.7340000000000001,0.769,0.77
ALB,Albania,27961,Global Gender Gap Political Empowerment subindex,Index,0.0375,0.0375,0.0413,0.0413,0.0785,0.0784,0.0753,0.0256,0.1834,0.214,0.214,0.284,0.284,0.376,0.377
ALB,Albania,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6613,0.6885,0.6491,0.6532,0.6808,0.7129,0.6663,0.6324,0.6534,0.6709999999999999,0.6679999999999999,0.6729999999999999,0.701,0.743,0.748
ALB,Albania,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9888,0.9925,0.9907,0.9906,0.9942,0.9809,0.9890000000000001,0.9755,0.97,0.972,0.986,0.986,0.987,0.9990000000000001,0.9990000000000001
ALB,Albania,28163,Global Gender Gap Health and Survival Subindex,Index,0.9553,0.9553,0.9553,0.9553,0.937,0.9268,0.9313,0.9313,0.9409,0.9470000000000001,0.9470000000000001,0.968,0.963,0.958,0.98
ARE,United Arab Emirates,27959,Overall Global Gender Gap Index,Index,0.5919,0.6184,0.622,0.6198,0.6397,0.6454,0.6392,0.6372,0.6436,0.6459999999999999,0.639,0.649,0.642,0.655,0.716
ARE,United Arab Emirates,27961,Global Gender Gap Political Empowerment subindex,Index,0.0147,0.1046,0.1114,0.1114,0.1394,0.1394,0.1206,0.1206,0.1106,0.115,0.139,0.18,0.18,0.191,0.40299999999999997
ARE,United Arab Emirates,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.4027,0.42100000000000004,0.4198,0.4148,0.4605,0.4898,0.4751,0.4672,0.5152,0.519,0.456,0.45899999999999996,0.439,0.47200000000000003,0.51
ARE,United Arab Emirates,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9861,0.9868,0.9955,0.9918,0.9977,0.9914,1.0,1.0,0.9875,0.987,1.0,0.9940000000000001,0.9790000000000001,0.987,0.987
ARE,United Arab Emirates,28163,Global Gender Gap Health and Survival Subindex,Index,0.9643,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.961,0.961,0.965,0.972,0.972,0.96
ARG,Argentina,27959,Overall Global Gender Gap Index,Index,0.6829,0.6982,0.7209,0.7211,0.7187,0.7236,0.7212,0.7195,0.7317,0.7340000000000001,0.735,0.732,0.733,0.746,0.752
ARG,Argentina,27961,Global Gender Gap Political Empowerment subindex,Index,0.2044,0.2044,0.3027,0.3077,0.2976,0.3084,0.3018,0.3136,0.3197,0.34700000000000003,0.35,0.35600000000000004,0.35600000000000004,0.387,0.39
ARG,Argentina,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5513,0.6128,0.607,0.6029,0.6024,0.6124,0.6075,0.5887,0.6312,0.615,0.616,0.596,0.599,0.623,0.639
ARG,Argentina,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9965,0.996,0.9941,0.9941,0.9953,0.9941,0.9962,0.9962,0.9962,0.996,0.995,0.998,0.995,0.995,1.0
ARG,Argentina,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.98,0.98,0.98,0.98,0.98,0.956
AUS,Australia,27959,Overall Global Gender Gap Index,Index,0.7163,0.7204,0.7241,0.7282,0.7271,0.7291,0.7294,0.7390000000000001,0.7409,0.733,0.721,0.731,0.73,0.731,0.731
AUS,Australia,27961,Global Gender Gap Political Empowerment subindex,Index,0.1634,0.1634,0.1915,0.1915,0.1917,0.1861,0.1847,0.1945,0.1887,0.193,0.193,0.23199999999999998,0.23199999999999998,0.231,0.258
AUS,Australia,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.7259,0.7440000000000001,0.7307,0.7477,0.7428,0.7565,0.7593,0.7879,0.8009999999999999,0.7659999999999999,0.7190000000000001,0.7240000000000001,0.718,0.722,0.7
AUS,Australia,28161,Global Gender Gap Educational Attainment Subindex,Index,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUS,Australia,28163,Global Gender Gap Health and Survival Subindex,Index,0.9761,0.9741,0.9741,0.9737,0.9739,0.9739,0.9735,0.9735,0.9737,0.9740000000000001,0.9740000000000001,0.97,0.971,0.971,0.98
AUT,Austria,27959,Overall Global Gender Gap Index,Index,0.6986,0.706,0.7153,0.7031,0.7091,0.7165,0.7391,0.7437,0.7266,0.733,0.716,0.7090000000000001,0.718,0.7440000000000001,0.777
AUT,Austria,27961,Global Gender Gap Political Empowerment subindex,Index,0.2821,0.2821,0.3057,0.2744,0.2742,0.2744,0.3318,0.3318,0.2573,0.24600000000000002,0.24600000000000002,0.21600000000000003,0.242,0.344,0.473
